Rank,name,pokedex_number,abilities,typing,hp,attack,defense,special_attack,special_defense,speed,height,weight,genus,gen_introduced,female_rate,genderless,baby_pokemon,legendary,mythical,is_default,forms_switchable,base_experience,capture_rate,egg_groups,egg_cycles,base_happiness,can_evolve,evolves_from,primary_color,shape,number_pokemon_with_typing,defense_vs_normal,defense_vs_fire,defense_vs_water,defense_vs_electric,defense_vs_grass,defense_vs_ice,defense_vs_fighting,defense_vs_poison,defense_vs_ground,defense_vs_flying,defense_vs_psychic,defense_vs_bug,defense_vs_rock,defense_vs_ghost,defense_vs_dragon,defense_vs_dark,defense_vs_steel,defense_vs_fairy
LC,Bulbasaur,1,Overgrow~Chlorophyll,Grass~Poison,45,49,49,65,65,45,7,69,Seed Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,64,45,Monster~Grass,20,70,TRUE,,Green,Quadruped,15,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
NFE,Ivysaur,2,Overgrow~Chlorophyll,Grass~Poison,60,62,63,80,80,60,10,130,Seed Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,142,45,Monster~Grass,20,70,TRUE,Bulbasaur,Green,Quadruped,15,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
RUBL,Venusaur,3,Overgrow~Chlorophyll,Grass~Poison,80,82,83,100,100,80,20,1000,Seed Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,236,45,Monster~Grass,20,70,FALSE,Ivysaur,Green,Quadruped,15,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
LC,Charmander,4,Blaze~Solar Power,Fire,39,52,43,60,50,65,6,85,Lizard Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,62,45,Monster~Dragon,20,70,TRUE,,Red,Upright,34,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
NFE,Charmeleon,5,Blaze~Solar Power,Fire,58,64,58,80,65,80,11,190,Flame Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,142,45,Monster~Dragon,20,70,TRUE,Charmander,Red,Upright,34,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
PU,Charizard,6,Blaze~Solar Power,Fire~Flying,78,84,78,109,85,100,17,905,Flame Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,240,45,Monster~Dragon,20,70,FALSE,Charmeleon,Red,Upright,7,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
LC,Squirtle,7,Torrent~Rain Dish,Water,44,48,65,50,64,43,5,90,Tiny Turtle Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,63,45,Monster~Water 1,20,70,TRUE,,Blue,Upright,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
NFE,Wartortle,8,Torrent~Rain Dish,Water,59,63,80,65,80,58,10,225,Turtle Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,142,45,Monster~Water 1,20,70,TRUE,Squirtle,Blue,Upright,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
NU,Blastoise,9,Torrent~Rain Dish,Water,79,83,100,85,105,78,16,855,Shellfish Pokémon,1,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,239,45,Monster~Water 1,20,70,FALSE,Wartortle,Blue,Upright,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
LC,Caterpie,10,Shield Dust~Run Away,Bug,45,30,35,20,20,45,3,29,Worm Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,39,255,Bug,15,70,TRUE,,Green,Armor,19,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
NFE,Metapod,11,Shed Skin,Bug,50,20,55,25,25,30,7,99,Cocoon Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,72,120,Bug,15,70,TRUE,Caterpie,Green,Squiggle,19,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
(PU),Butterfree,12,Compound Eyes~Tinted Lens,Bug~Flying,60,45,50,90,80,70,11,320,Butterfly Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,178,45,Bug,15,70,FALSE,Metapod,White,Bug-Wings,14,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
NFE,Pikachu,25,Static~Lightning Rod,Electric,35,55,40,50,50,90,4,60,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,112,190,Field~Fairy,10,70,TRUE,Pichu,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
(PU),Raichu,26,Static~Lightning Rod,Electric,60,90,55,90,80,110,8,300,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,218,75,Field~Fairy,10,70,FALSE,Pikachu,Yellow,Upright,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
LC,Sandshrew,27,Sand Veil~Sand Rush,Ground,50,75,85,20,30,40,6,120,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,60,255,Field,20,70,TRUE,,Yellow,Upright,17,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
PU,Sandslash,28,Sand Veil~Sand Rush,Ground,75,100,110,45,55,65,10,295,Mouse Pokémon,1,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,158,90,Field,20,70,FALSE,Sandshrew,Yellow,Upright,17,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
NFE,Nidorina,30,Poison Point~Rivalry~Hustle,Poison,70,62,67,55,55,56,8,200,Poison Pin Pokémon,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,128,120,Undiscovered,20,70,TRUE,Nidoran F,Blue,Quadruped,16,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
RU,Nidoqueen,31,Poison Point~Rivalry~Sheer Force,Poison~Ground,90,92,87,75,85,76,13,600,Drill Pokémon,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,227,45,Undiscovered,20,70,FALSE,Nidorina,Blue,Upright,2,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
NFE,Nidorino,33,Poison Point~Rivalry~Hustle,Poison,61,72,57,55,55,65,9,195,Poison Pin Pokémon,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,128,120,Monster~Field,20,70,TRUE,Nidoran M,Purple,Quadruped,16,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
UU,Nidoking,34,Poison Point~Rivalry~Sheer Force,Poison~Ground,81,102,77,85,75,85,14,620,Drill Pokémon,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,227,45,Monster~Field,20,70,FALSE,Nidorino,Purple,Upright,2,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
NFE,Clefairy,35,Cute Charm~Magic Guard~Friend Guard,Fairy,70,45,48,60,65,35,6,75,Fairy Pokémon,1,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,113,150,Fairy,10,140,TRUE,Cleffa,Pink,Upright,19,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
